src,dst,weight
0.0,0.0,0.9997754693031311
0.0,382.0,2.8814054076065077e-06
0.0,390.0,2.265592229377944e-06
0.0,653.0,2.4492476313753286e-06
0.0,796.0,2.3368329493678175e-06
0.0,1052.0,2.2201481897354824e-06
0.0,1189.0,5.605630121863214e-06
1.0,1.0,0.9999455213546753
1.0,147.0,1.4956762584006356e-07
1.0,595.0,2.0938895772815158e-07
1.0,791.0,2.9121022748768155e-07
1.0,1091.0,2.005251928949292e-07
1.0,1180.0,1.5062758507156104e-07
1.0,1199.0,1.548665977679775e-07
2.0,2.0,0.999920666217804
2.0,26.0,2.643802474722179e-07
2.0,632.0,3.775263621719205e-07
2.0,919.0,3.4538842896836286e-07
2.0,1109.0,2.670044239039271e-07
2.0,1247.0,2.227442053026607e-07
2.0,1324.0,2.2746930028461065e-07
3.0,3.0,0.9995858669281006
3.0,11.0,8.076490303210448e-06
3.0,255.0,1.4591448234568816e-05
3.0,451.0,9.37717777560465e-06
3.0,463.0,6.1987448134459555e-06
3.0,530.0,6.413168193830643e-06
3.0,1188.0,1.7536467566969804e-05
4.0,4.0,0.9999359250068665
4.0,230.0,7.379028943432786e-07
4.0,329.0,2.523718194424873e-07
4.0,342.0,4.149301275901962e-07
4.0,491.0,2.605970337299368e-07
4.0,546.0,3.433725623835926e-07
4.0,966.0,5.682658752448333e-07
5.0,5.0,0.9998779296875
5.0,14.0,6.189695341163315e-06
5.0,351.0,2.0492666408244986e-06
5.0,352.0,1.6689190260876785e-06
5.0,440.0,2.158160896215122e-06
5.0,503.0,1.4971087693993468e-06
5.0,1124.0,2.2524457108374918e-06
6.0,6.0,0.9996643662452698
6.0,120.0,3.083096316913725e-06
6.0,149.0,6.431667770812055e-06
6.0,477.0,4.089842150278855e-06
6.0,511.0,8.768599400355015e-06
6.0,621.0,8.240251190727577e-06
6.0,730.0,3.0345333925652085e-06
7.0,7.0,0.9999427795410156
7.0,92.0,6.376958481268957e-07
7.0,282.0,1.1194133548997343e-06
7.0,284.0,2.9460420591931324e-07
7.0,329.0,4.6575448209296155e-07
7.0,490.0,2.91973094590503e-07
7.0,491.0,2.872223205940827e-07
8.0,8.0,0.9996468424797058
