src,dst,weight
0.0,0.0,1.0
0.0,736.0,1.0
0.0,737.0,1.0
0.0,738.0,1.0
0.0,739.0,1.0
0.0,740.0,1.0
0.0,742.0,1.0
1.0,0.0,1.0
1.0,736.0,1.0
1.0,737.0,1.0
1.0,738.0,1.0
1.0,739.0,1.0
1.0,740.0,1.0
1.0,742.0,1.0
2.0,0.0,1.0
2.0,736.0,1.0
2.0,737.0,1.0
2.0,738.0,1.0
2.0,739.0,1.0
2.0,740.0,1.0
2.0,742.0,1.0
3.0,0.0,1.0
3.0,736.0,1.0
3.0,737.0,1.0
3.0,738.0,1.0
3.0,739.0,1.0
3.0,740.0,1.0
3.0,742.0,1.0
4.0,0.0,1.0
4.0,736.0,1.0
4.0,737.0,1.0
4.0,738.0,1.0
4.0,739.0,1.0
4.0,740.0,1.0
4.0,742.0,1.0
5.0,5.0,1.0
5.0,55.0,1.0
5.0,200.0,1.0
5.0,512.0,1.0
5.0,594.0,1.0
5.0,670.0,1.0
5.0,1154.0,1.0
6.0,0.0,1.0
6.0,736.0,1.0
6.0,737.0,1.0
6.0,738.0,1.0
6.0,739.0,1.0
6.0,740.0,1.0
6.0,742.0,1.0
7.0,0.0,1.0
7.0,736.0,1.0
7.0,737.0,1.0
7.0,738.0,1.0
7.0,739.0,1.0
7.0,740.0,1.0
7.0,742.0,1.0
8.0,0.0,1.0
8.0,736.0,1.0
8.0,737.0,1.0
8.0,738.0,1.0
8.0,739.0,1.0
8.0,740.0,1.0
8.0,742.0,1.0
9.0,0.0,1.0
9.0,736.0,1.0
9.0,737.0,1.0
9.0,738.0,1.0
9.0,739.0,1.0
9.0,740.0,1.0
9.0,742.0,1.0
10.0,10.0,1.0
10.0,328.0,0.34101073345259436
10.0,509.0,0.2947227191413244
10.0,1269.0,0.31552482715273433
10.0,1392.0,0.3255813953488369
10.0,1393.0,0.3255813953488379
10.0,1434.0,0.3152454780361763
11.0,409.0,1.0
11.0,467.0,1.0
11.0,758.0,1.0
11.0,822.0,1.0
11.0,831.0,1.0
11.0,980.0,1.0
11.0,1213.0,1.0
12.0,0.0,1.0
12.0,736.0,1.0
12.0,737.0,1.0
12.0,738.0,1.0
12.0,739.0,1.0
12.0,740.0,1.0
12.0,742.0,1.0
13.0,0.0,1.0
13.0,736.0,1.0
13.0,737.0,1.0
13.0,738.0,1.0
13.0,739.0,1.0
13.0,740.0,1.0
13.0,742.0,1.0
14.0,14.0,1.0
14.0,352.0,0.7548387096774197
14.0,482.0,0.6769230769230776
14.0,777.0,0.6814814814814802
14.0,895.0,0.7
14.0,973.0,0.6769230769230776
14.0,1000.0,0.659259259259259
15.0,0.0,1.0
15.0,736.0,1.0
15.0,737.0,1.0
15.0,738.0,1.0
15.0,739.0,1.0
15.0,740.0,1.0
15.0,742.0,1.0
16.0,0.0,1.0
16.0,736.0,1.0
16.0,737.0,1.0
16.0,738.0,1.0
16.0,739.0,1.0
16.0,740.0,1.0
16.0,742.0,1.0
17.0,0.0,1.0
17.0,736.0,1.0
17.0,737.0,1.0
17.0,738.0,1.0
17.0,739.0,1.0
17.0,740.0,1.0
17.0,742.0,1.0
18.0,0.0,1.0
18.0,736.0,1.0
18.0,737.0,1.0
18.0,738.0,1.0
18.0,739.0,1.0
18.0,740.0,1.0
18.0,742.0,1.0
19.0,0.0,1.0
19.0,736.0,1.0
19.0,737.0,1.0
19.0,738.0,1.0
19.0,739.0,1.0
19.0,740.0,1.0
19.0,742.0,1.0
20.0,0.0,1.0
20.0,736.0,1.0
20.0,737.0,1.0
20.0,738.0,1.0
20.0,739.0,1.0
20.0,740.0,1.0
20.0,742.0,1.0
21.0,21.0,1.0
21.0,203.0,0.7437037037037042
21.0,267.0,0.7437037037037042
21.0,361.0,0.7437037037037042
21.0,1048.0,0.7437037037037042
21.0,1363.0,0.7837037037037042
21.0,1490.0,0.7837037037037042
22.0,0.0,1.0
22.0,736.0,1.0
22.0,737.0,1.0
22.0,738.0,1.0
22.0,739.0,1.0
22.0,740.0,1.0
22.0,742.0,1.0
23.0,0.0,1.0
23.0,736.0,1.0
23.0,737.0,1.0
23.0,738.0,1.0
23.0,739.0,1.0
23.0,740.0,1.0
23.0,742.0,1.0
24.0,0.0,1.0
24.0,736.0,1.0
24.0,737.0,1.0
24.0,738.0,1.0
24.0,739.0,1.0
24.0,740.0,1.0
24.0,742.0,1.0
25.0,25.0,1.0
25.0,138.0,0.7777777777777777
25.0,227.0,0.8148148148148132
25.0,239.0,0.8148148148148145
25.0,372.0,0.777777777777777
25.0,1101.0,0.8518518518518515
25.0,1133.0,0.7777777777777773
26.0,0.0,1.0
26.0,736.0,1.0
26.0,737.0,1.0
26.0,738.0,1.0
26.0,739.0,1.0
26.0,740.0,1.0
26.0,742.0,1.0
27.0,0.0,1.0
27.0,736.0,1.0
27.0,737.0,1.0
27.0,738.0,1.0
27.0,739.0,1.0
27.0,740.0,1.0
27.0,742.0,1.0
28.0,0.0,1.0
28.0,736.0,1.0
28.0,737.0,1.0
28.0,738.0,1.0
28.0,739.0,1.0
28.0,740.0,1.0
28.0,742.0,1.0
29.0,0.0,1.0
29.0,736.0,1.0
29.0,737.0,1.0
29.0,738.0,1.0
29.0,739.0,1.0
29.0,740.0,1.0
29.0,742.0,1.0
30.0,0.0,1.0
30.0,736.0,1.0
30.0,737.0,1.0
30.0,738.0,1.0
30.0,739.0,1.0
30.0,740.0,1.0
30.0,742.0,1.0
31.0,0.0,1.0
31.0,736.0,1.0
31.0,737.0,1.0
31.0,738.0,1.0
31.0,739.0,1.0
31.0,740.0,1.0
31.0,742.0,1.0
32.0,0.0,1.0
32.0,736.0,1.0
32.0,737.0,1.0
32.0,738.0,1.0
32.0,739.0,1.0
32.0,740.0,1.0
32.0,742.0,1.0
33.0,0.0,1.0
33.0,736.0,1.0
33.0,737.0,1.0
33.0,738.0,1.0
33.0,739.0,1.0
33.0,740.0,1.0
33.0,742.0,1.0
34.0,0.0,1.0
34.0,736.0,1.0
34.0,737.0,1.0
34.0,738.0,1.0
34.0,739.0,1.0
34.0,740.0,1.0
34.0,742.0,1.0
35.0,0.0,1.0
35.0,736.0,1.0
35.0,737.0,1.0
35.0,738.0,1.0
35.0,739.0,1.0
35.0,740.0,1.0
35.0,742.0,1.0
36.0,0.0,1.0
36.0,736.0,1.0
36.0,737.0,1.0
36.0,738.0,1.0
36.0,739.0,1.0
36.0,740.0,1.0
36.0,742.0,1.0
37.0,0.0,1.0
37.0,736.0,1.0
37.0,737.0,1.0
37.0,738.0,1.0
37.0,739.0,1.0
37.0,740.0,1.0
37.0,742.0,1.0
38.0,38.0,1.0
38.0,103.0,0.642857142857143
38.0,764.0,0.6785714285714284
38.0,1024.0,0.7660098522167487
38.0,1118.0,0.7275132275132266
38.0,1284.0,0.6058201058201063
38.0,1482.0,0.8214285714285714
39.0,0.0,1.0
39.0,736.0,1.0
39.0,737.0,1.0
39.0,738.0,1.0
39.0,739.0,1.0
39.0,740.0,1.0
39.0,742.0,1.0
40.0,0.0,1.0
40.0,736.0,1.0
40.0,737.0,1.0
40.0,738.0,1.0
